date,product,category,region,price,quantity
2024-01-03,Chair,Furniture,North,4000,8
2024-01-04,Table,Furniture,West,12000,3
2024-01-05,Shirt,Clothing,South,1500,15
2024-01-09,Sofa,Furniture,South,35000,2
2024-01-13,Chair,Furniture,North,4200,10
2024-01-14,Table,Furniture,West,12500,4
2024-01-15,Shirt,Clothing,South,1600,18
2024-01-19,Sofa,Furniture,South,36000,1
2024-01-23,Chair,Furniture,North,4100,9
2024-01-24,Table,Furniture,West,12200,3
2024-01-25,Shirt,Clothing,South,1550,16
2024-01-29,Sofa,Furniture,South,35500,2
2024-02-03,Chair,Furniture,North,4300,6
2024-02-04,Table,Furniture,West,13000,4
2024-02-05,Shirt,Clothing,South,1700,30
2024-02-09,Sofa,Furniture,South,38000,5
2024-02-13,Chair,Furniture,North,3900,4
2024-02-14,Table,Furniture,West,11800,2
2024-02-15,Shirt,Clothing,South,1450,8
2024-02-19,Sofa,Furniture,South,34000,1
